y_train,y_train_pre
-4.07,-4.051882743835449
-1.17,-1.0218356847763062
-6.35,-6.256858825683594
-3.931,-4.978523254394531
-5.89,-5.80576229095459
-3.408,-3.164785861968994
-2.154,-2.172161102294922
-0.28,-0.08371666818857193
-3.53,-2.6751720905303955
-4.64,-4.674369812011719
-4.0,-4.566453456878662
-6.237,-6.113976955413818
-3.5039999999999996,-3.7184479236602783
-2.96,-3.0724565982818604
-4.74,-4.563595771789551
-0.89,-0.7312830686569214
-4.1,-3.859632968902588
-2.73,-3.194892406463623
-3.6,-3.439237117767334
-2.273,-0.9379690289497375
-5.82,-5.583758354187012
-1.716,-2.5062129497528076
-2.74,-3.0095105171203613
-3.78,-4.1275458335876465
-4.047,-4.697463035583496
-2.39,-2.528616428375244
-2.06,-2.7742221355438232
-3.8169999999999997,-4.481016635894775
-0.82,-0.9580309987068176
-2.67,-3.1066172122955322
-5.41,-5.9795026779174805
-2.452,-2.570592164993286
-4.57,-4.095258712768555
-0.01,0.1480514109134674
-3.84,-3.388305187225342
-0.46,-0.6778953671455383
1.1,1.3784091472625732
-5.931,-4.973902702331543
0.43,0.998935341835022
-4.88,-4.879101753234863
-4.3,-4.523642063140869
-4.63,-5.223028182983398
-4.37,-3.8341305255889893
-5.66,-5.253330230712891
-1.93,-1.9742412567138672
-2.22,-2.326075315475464
-3.583,-1.910760521888733
-3.67,-4.7485880851745605
-4.29,-4.729113578796387
-6.291,-6.289942741394043
-5.115,-6.396514892578125
-0.59,0.05845478177070618
-2.5810000000000004,-2.6852407455444336
-1.74,-1.3897576332092285
-1.01,-1.4351667165756226
-5.28,-5.635107517242432
-8.176,-6.814398288726807
-2.92,-3.5668258666992188
-3.451,-3.4359333515167236
-4.4319999999999995,-4.328778266906738
-5.85,-5.799212455749512
-6.144,-5.3887834548950195
-4.17,-4.68104362487793
-7.43,-7.213494300842285
0.32,0.36320948600769043
-4.55,-2.9469587802886963
-4.66,-4.306543350219727
-4.9,-4.019621849060059
-3.6719999999999997,-3.346057176589966
0.74,0.5473262071609497
-1.85,-1.7548938989639282
-1.29,-1.3767426013946533
-2.48,-2.717817783355713
-8.01,-7.530224800109863
-5.06,-5.173062801361084
-0.77,-0.11336711794137955
-3.59,-3.968283176422119
-3.75,-4.038003444671631
-3.364,-2.2080092430114746
-2.09,-3.1276822090148926
-3.1,-3.1993536949157715
-1.7080000000000002,-2.457951784133911
-2.73,-3.5897560119628906
-2.19,-2.0619471073150635
-4.24,-4.56713342666626
-2.67,-2.8736579418182373
0.94,0.17863550782203674
-2.369,-2.853972911834717
-0.39,-0.28087109327316284
-0.8,-0.8920863270759583
-1.077,-1.2370810508728027
-6.25,-6.3075056076049805
-2.09,-2.28617262840271
-3.5610000000000004,-4.426318168640137
-6.89,-6.4673752784729
