y_train,y_train_pre
-3.32,-3.46787691116333
-3.36,-3.5469794273376465
-0.79,-0.44570979475975037
-5.23,-5.121407508850098
-4.92,-4.754589557647705
-4.4319999999999995,-4.972347259521484
-1.601,-2.5951085090637207
-1.47,-1.403146743774414
-1.52,-1.1619699001312256
-1.3,-1.390906572341919
-0.4,-0.2898141145706177
-7.25,-7.006585597991943
-3.63,-3.5418217182159424
-1.228,-1.4717504978179932
-8.402000000000001,-7.2642927169799805
-1.94,-1.799607515335083
0.02,-0.6623736619949341
-3.785,-3.7392361164093018
-2.1109999999999998,-2.8900887966156006
-4.883,-4.021381855010986
-1.95,-1.6176331043243408
-2.322,-2.8800363540649414
-1.66,-2.030730724334717
-1.456,-2.7394421100616455
-3.84,-3.708341598510742
-6.176,-6.630361080169678
-0.85,-0.814813494682312
-2.676,-2.321892738342285
-5.65,-5.872934341430664
-0.8,-0.8586903810501099
-3.37,-3.306175947189331
-6.02,-4.815313339233398
0.62,-0.4817487299442291
0.106,-1.3594510555267334
-2.452,-2.4076552391052246
-3.81,-4.596592903137207
-0.36,-0.2126970738172531
-4.04,-4.151907444000244
-5.37,-5.333206653594971
-4.871,-4.423693656921387
-6.35,-5.592757225036621
-2.08,-2.583139181137085
-1.99,-2.006268262863159
-5.21,-5.203278541564941
-2.17,-2.583061695098877
-2.218,-2.6824421882629395
-3.78,-4.375298500061035
-2.78,-2.835392713546753
-3.21,-3.538360595703125
-2.77,-2.9522545337677
-2.22,-2.415379047393799
-0.8540000000000001,-1.026658296585083
-5.507000000000001,-5.1891608238220215
-1.83,-2.6164841651916504
-2.077,-2.3772315979003906
-0.18,-0.16092164814472198
-2.3,-3.5369644165039062
-2.932,-1.9957125186920166
0.6509999999999999,0.4592803418636322
-4.955,-3.881984233856201
-3.927,-3.085090160369873
-2.878,-2.4745776653289795
-5.19,-5.132098197937012
-1.56,-2.381700038909912
0.0,-0.2808259129524231
-0.8,-0.9943491220474243
-2.68,-2.5343985557556152
-4.55,-5.035519599914551
-3.5610000000000004,-4.823544025421143
-3.62,-2.954655647277832
-2.18,-2.399634838104248
-4.37,-3.9116828441619873
-3.2460000000000004,-4.391913890838623
-3.15,-3.4433205127716064
-2.67,-3.238835573196411
-0.51,-0.6293471455574036
-8.4,-7.39715576171875
