y_train,y_train_pre
-4.07,-4.513139247894287
-1.17,-1.0431218147277832
-6.35,-5.964975833892822
-3.931,-5.068090915679932
-5.89,-5.457287311553955
-3.408,-2.713634967803955
-2.154,-2.3931190967559814
-0.28,-0.978344738483429
-3.53,-3.3748576641082764
-4.64,-4.383138656616211
-4.0,-4.711406707763672
-6.237,-5.321627616882324
-3.5039999999999996,-3.6621227264404297
-2.96,-2.6575119495391846
-4.74,-4.012148380279541
-0.89,-1.4659160375595093
-4.1,-3.658325672149658
-2.73,-3.063157320022583
-3.6,-3.409463882446289
-2.273,-0.6223681569099426
-5.82,-5.639007091522217
-1.716,-3.3507018089294434
-2.74,-3.224830150604248
-3.78,-4.404820919036865
-4.047,-5.037855625152588
-2.39,-3.1532819271087646
-2.06,-2.8123321533203125
-3.8169999999999997,-5.1785149574279785
-0.82,-1.2980048656463623
-2.67,-2.8809497356414795
-5.41,-5.798128604888916
-2.452,-2.77760648727417
-4.57,-4.901129245758057
-0.01,-0.6918168067932129
-3.84,-2.8177363872528076
-0.46,-0.9942044019699097
1.1,0.5637706518173218
-5.931,-5.376395225524902
0.43,0.292511522769928
-4.88,-4.669355869293213
-4.3,-3.7680020332336426
-4.63,-5.052056312561035
-4.37,-4.233038902282715
-5.66,-5.652005195617676
-1.93,-2.50187349319458
-2.22,-2.8875651359558105
-3.583,-1.3757133483886719
-3.67,-4.68133020401001
-4.29,-4.528507232666016
-6.291,-5.745038032531738
-5.115,-6.293485641479492
-0.59,-0.34633827209472656
-2.5810000000000004,-2.8866665363311768
-1.74,-1.323960542678833
-1.01,-1.3546985387802124
-5.28,-5.3281965255737305
-8.176,-5.854667663574219
-2.92,-3.2840933799743652
-3.451,-3.7217986583709717
-4.4319999999999995,-4.497076988220215
-5.85,-5.448849678039551
-6.144,-5.46567440032959
-4.17,-4.496646881103516
-7.43,-6.601949214935303
0.32,0.04262144863605499
-4.55,-3.1345114707946777
-4.66,-3.8840889930725098
-4.9,-4.241178512573242
-3.6719999999999997,-3.3636722564697266
0.74,1.2490798234939575
-1.85,-1.7143300771713257
-1.29,-2.328352451324463
-2.48,-3.18811297416687
-8.01,-6.842656135559082
-5.06,-4.467121124267578
-0.77,-1.1589939594268799
-3.59,-4.131277561187744
-3.75,-3.9660325050354004
-3.364,-1.8412933349609375
-2.09,-3.439701795578003
-3.1,-3.342332124710083
-1.7080000000000002,-2.122647523880005
-2.73,-4.399791717529297
-2.19,-2.071768283843994
-4.24,-4.1125593185424805
-2.67,-3.7425034046173096
0.94,0.09912421554327011
-2.369,-2.7935843467712402
-0.39,-0.7793916463851929
-0.8,-1.1044546365737915
-1.077,-0.6248717308044434
-6.25,-5.878731727600098
-2.09,-1.7401119470596313
-3.5610000000000004,-4.519275665283203
-6.89,-5.929424285888672
-1.98,-2.529747724533081
-1.56,-2.7393994331359863
-3.37,-2.5739493370056152
-2.68,-1.8270318508148193
-4.63,-5.130930423736572
-0.62,-1.5916519165039062
-3.76,-4.563218116760254
-2.33,-1.0603773593902588
-8.057,-6.083780765533447
-4.08,-4.293210029602051
-1.601,-2.907088041305542
-4.11,-4.346921920776367
-2.766,-2.158801555633545
-6.57,-6.290509223937988
-3.54,-3.6982779502868652
-4.4,-4.144524097442627
0.54,-0.7564309239387512
-4.47,-3.3413658142089844
-3.35,-4.293688774108887
-4.6339999999999995,-3.9931209087371826
-4.0,-3.9754505157470703
-4.65,-5.367675304412842
1.58,0.4536711275577545
-2.356,-2.914839267730713
-2.06,-1.9059181213378906
-0.17,-0.3651081919670105
-0.4,-0.3543921113014221
0.009000000000000001,-0.8384912610054016
-7.42,-6.853330135345459
-0.72,-1.5864641666412354
-5.19,-4.5596818923950195
-3.05,-2.1761832237243652
-3.26,-4.270534515380859
-3.27,-3.075665235519409
-2.28,-2.912837505340576
0.28,-0.8521143198013306
-4.36,-2.829470157623291
-4.207,-4.947040557861328
